seg_word,count
睡不着,84
可悲,84
估計,84
失調,84
不願,84
刪除,84
五點,84
聽見,84
親愛,83
壓,83
前女友,83
描述,83
概念,83
罪惡感,83
細節,83
搬,83
不在乎,83
褲子,83
越小越,83
試圖,83
寵物,83
身為,83
貴,82
數據,82
挑,82
這才,82
靜默,82
很糟,82
發出,82
年來,82
這陣子,82
↘,82
回音,82
crazy,82
型,82
法,82
上床,82
姑娘,82
好過,82
連結,82
擺脫,82
盡力,82
散步,81
夢裡,81
舒適,81
網易,81
譜,81
班上,81
隱藏,81
諮詢,81
角落,81
OK,81
明年,81
一絲,81
得知,81
睡着,81
物質,81
隔壁,81
無誤,81
踩,81
網上,81
深淵,81
那一刻,80
髒,80
八卦,80
模樣,80
過往,80
聊聊,80
從沒,80
世間,80
刀,80
中醫,80
鬧,80
劇情,80
這位,80
玩遊戲,80
開車,80
指責,80
懦弱,80
做不了,80
小學,80
重大,79
那年,79
顯得,79
難熬,79
粉絲,79
現象,79
心底,79
kazusn,79
嘴巴,79
無比,79
去過,79
小孩子,79
誇張,79
正式,79
我愛你,79
流淚,79
吃過,79
年齡,79
看法,79
令,79
奶茶,79
該死,79
每年,78
radiohead56,78
單身,78
抽煙,78
裏面,78
網友,78
驚訝,78
講的,78
打擊,78
系,78
模糊,78
夢到,78
走向,78
摔,78
提前,78
google,78
太累,78
現場,78
代價,78
樣,78
規劃,78
七點,78
十點,78
甜,78
臨時,78
高考,78
🍭,77
男孩,77
人性,77
道路,77
piedtw,77
鄰居,77
學到,77
振作,77
OD,77
一碗,77
整整,77
PO,77
保全,77
合理,77
抖,77
緩解,77
Day,77
段時間,77
結論,77
妄想,77
提早,77
兩週,77
疫情,77
臉上,77
君,77
矯情,77
輕易,77
天生,76
嘲笑,76
婆婆,76
需求,76
週,76
殺人,76
慢跑,76
粥,76
胸口,76
ironhihihi,76
nagnukiy,76
曬太陽,76
每日,76
寫到,76
自傷,76
自行,76
事後,76
當個,76
很爛,76
拿藥,76
跳下去,76
英雄,75
存,75
聽不懂,75
寶貝,75
消除,75
ㄧ,75
手術,75
證照,75
便當,75
來源,75
週四,75
好久沒,75
惡意,75
犯,75
↓,75
五年,75
牀上,75
line,75
The,75
興奮,75
體質,75
誤會,75
費用,75
開藥,75
相當,75
喊,75
一口,75
麻木,74
這部,74
壞事,74
自動,74
咖啡因,74
不來,74
睡醒,74
輕度,74
黑色,74
發脾氣,74
視力,74
級,74
浮現,74
相遇,74
改成,74
早已,74
河南,74
出院,74
統計,74
😂,74
話語,74
單曲,74
快速,73
ry,73
我當,73
機率,73
包容,73
癌症,73
逛街,73
聽過,73
這類,73
曬,73
汪慶,73
地點,73
報應,73
規定,73
有天,73
月底,73
圈,73
複習,73
事業,73
砸,73
公園,73
🍁,73
打擾,72
異常,72
明,72
上午,72
績效,72
週日,72
承諾,72
吹,72
笑話,72
試過,72
談話,72
愛你,72
幾句,72
理所當然,72
沉重,72
衝突,72
相反,72
總結,72
週二,72
好玩,72
禱告,71
姐,71
身,71
兩人,71
平凡,71
ppt,71
浪費時間,71
吸收,71
抗拒,71
過世,71
人能,71
一頓,71
漫長,71
胡思亂想,71
感想,71
那段,71
頻繁,71
校園,71
司機,71
寫字,71
重鬱,71
好幾年,71
emilucute,71
收穫,71
勵志,71
週三,70
質疑,70
心悸,70
價格,70
天才,70
此刻,70
太大,70
耳朵,70
空,70
冥想,70
第二個,70
承擔,70
情形,70
有錢人,70
丟了,70
壞掉,70
老爸,70
清晰,70
準時,70
惡化,70
攝影,70
可笑,70
職業,70
風景,70
看似,70
地球,70
........,70
組員,70
皆,70
厭世,70
夢見,70
割腕,70
有意思,70
人要,70
門診,70
不在意,70
中度,70
擔憂,70
忽略,70
動畫,70
一會兒,70
實在太,70
網站,69
很小,69
黃,69
筆電,69
嫌,69
技術,69
反,69
九點,69
演員,69
外表,69
群組,69
dcard,69
重鬱症,69
唷,69
達成,69
省,69
靠近,69
兇,69
jarm147,69
內在,69
之下,69
averyavery,69
引述,69
歡樂,69
下課,69
任務,69
一兩個,69
鞋,69
周遭,69
六點,68
一切都是,68
嚇到,68
退化,68
耳機,68
Repost,68
大海,68
之銘言,68
之冬,68
安,68
問問,68
親情,68
樹,68
噢,68
koxinga,68
狂,68
慢,68
體諒,68
強,68
看病,68
煎熬,68
女神,68
例子,68
很久,68
太好了,68
排,67
充實,67
訴說,67
温柔,67
測試,67
權利,67
深夜,67
喝完,67
善意,67
逃跑,67
解離,67
每週,67
則是,67
新年快樂,67
需,67
血清素,67
釋放,67
清晨,67
時不時,67
小朋友,67
⋯,67
煙,67
往前,67
╯,67
發覺,67
同情,67
一樓,67
餅乾,67
鬱悶,67
輪迴,67
不堪,67
輕微,67
人來,67
項目管理,67
機車,66
嬰兒,66
線,66
反駁,66
孤寡,66
一套,66
流浪,66
找出,66
分泌,66
一刻,66
還以,66
幾點,66
成癮,66
講到,66
做錯,66
knai,66
提不起,66
懺悔,66
捨,66
笑笑,66
oppih,66
四點,66
承花,66
滑,66
痛恨,66
欣賞,66
抽到,66
部,66
要給,66
毛,66
教室,66
到時候,65
明確,65
交給,65
遺忘,65
討好,65
冷漠,65
憋,65
收拾,65
換成,65
友情,65
kikimina,65
tmac012004,65
從來沒,65
學歷,65
就夠,65
將來,65
直說,65
